Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
139;Dorian Finney-Smith;PF;29;DAL;40;40;32.2;3.2;7.8;0.416;1.9;5.4;0.355;1.3;2.3;0.559;0.54;0.8;1;0.75;1.7;3;4.7;1.5;1;0.5;0.9;2;9.1
139;Dorian Finney-Smith;PF;29;BRK;2;2;34.5;3;9;0.333;0.5;4;0.125;2.5;5;0.5;0.361;0.5;1.5;0.333;3;5.5;8.5;1.5;0;0;1;3;7
140;Malachi Flynn;PG;24;TOR;40;1;13.8;1.7;4.7;0.356;1;2.6;0.362;0.7;2.1;0.349;0.457;0.3;0.4;0.765;0.4;1.2;1.5;1.5;0.4;0.1;0.5;1.3;4.6
141;Simone Fontecchio;SF;27;UTA;29;0;9;1.2;3.3;0.371;0.8;2.3;0.338;0.4;1;0.448;0.49;0.4;0.6;0.688;0.4;0.7;1.1;0.4;0.1;0.2;0.6;0.9;3.7
142;Bryn Forbes;SG;29;MIN;25;0;10.7;1.2;3.3;0.361;0.6;1.8;0.304;0.6;1.5;0.432;0.446;0.6;0.6;1;0.2;0.4;0.6;0.7;0.3;0.1;0.5;0.9;3.6
143;Trent Forrest;PG;24;ATL;18;3;13.3;1.3;2.8;0.48;0;0.1;0;1.3;2.7;0.5;0.48;0.1;0.2;0.667;0.3;1.3;1.6;1.7;0.3;0.1;0.6;0.9;2.8
144;Michael Foster Jr.;PF;20;PHI;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;Evan Fournier;SG;30;NYK;22;7;18.7;2.4;6.8;0.353;1.5;4.6;0.327;0.9;2.2;0.408;0.463;0.8;1;0.857;0.2;1.9;2;1.6;0.6;0.1;0.9;2;7.1
146;De'Aaron Fox;PG;25;SAC;51;51;33.9;9.2;18.1;0.506;1.5;4.7;0.318;7.7;13.4;0.572;0.548;4.8;6;0.795;0.5;3.8;4.3;6.2;1.1;0.4;2.6;2.5;24.6
147;Markelle Fultz;PG;24;ORL;36;36;28.8;5.3;10.5;0.501;0.4;1.3;0.304;4.9;9.3;0.529;0.52;1.8;2.3;0.75;1.2;2.6;3.8;5.4;1.5;0.3;2.4;2.1;12.7
148;Wenyen Gabriel;PF;25;LAL;44;2;15.7;2.7;4.3;0.623;0.2;0.7;0.31;2.5;3.7;0.679;0.647;0.8;1.3;0.614;1.6;2.3;3.9;0.4;0.4;0.6;0.7;2.2;6.4
149;Daniel Gafford;C;24;WAS;53;22;18.6;3.5;4.6;0.744;0;0;0;3.5;4.6;0.744;0.744;1.6;2.5;0.637;2;3.3;5.3;0.8;0.4;1.4;0.9;2.2;8.5
150;Darius Garland;PG;23;CLE;49;49;35.1;7.5;16.2;0.462;2.6;6.2;0.419;4.9;10;0.489;0.542;4.2;4.9;0.866;0.4;2.3;2.8;8;1.2;0.1;2.9;2.1;21.8
151;Usman Garuba;PF;20;HOU;49;1;13.7;1.3;2.4;0.525;0.3;0.6;0.452;1;1.8;0.552;0.585;0.4;0.7;0.528;1.7;2.9;4.6;1;0.7;0.5;0.7;1.7;3.2
152;Luka Garza;C;24;MIN;22;0;9.3;2.4;4.6;0.525;0.6;1.6;0.361;1.8;3;0.615;0.589;1.5;2;0.767;1.2;1.2;2.4;0.6;0.1;0;0.4;1.5;6.9
153;Rudy Gay;PF;36;UTA;43;0;14.7;1.8;4.7;0.382;0.5;2.2;0.242;1.3;2.5;0.505;0.439;0.7;0.8;0.857;0.7;2.3;3;1;0.4;0.3;0.6;1.2;4.9
154;Paul George;SG;32;LAC;42;42;34.2;8.1;17.7;0.46;3;7.7;0.386;5.1;10;0.517;0.544;4;4.7;0.867;0.7;5.5;6.2;5.2;1.5;0.4;3.3;2.7;23.3
155;Taj Gibson;C;37;WAS;35;2;9.8;1.4;2.6;0.543;0.1;0.4;0.2;1.3;2.2;0.61;0.56;0.6;0.9;0.7;0.7;1.2;2;0.8;0.4;0.3;0.5;1.9;3.5
156;Josh Giddey;SG;20;OKC;50;50;30.9;7.1;14.5;0.488;1;3;0.322;6.1;11.4;0.532;0.522;1.2;1.6;0.785;2;5.9;7.9;5.9;0.7;0.5;3;2.1;16.3
157;Shai Gilgeous-Alexander;PG;24;OKC;51;51;35.5;10.3;20.2;0.511;0.9;2.6;0.353;9.4;17.5;0.534;0.534;9.5;10.4;0.913;0.8;3.8;4.6;5.7;1.7;1.1;2.9;2.7;31
